REGゲーム数,当該REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,AT間ゲーム数,前回AT当選ゲーム数,前回AT獲得枚数,前回差枚数,前回連荘数,前回種別,機種別条件,前回REG当選ゲーム数,前回REG獲得枚数
783,394,0,119,425,1,0,0,0,0,1,0,下位,0,0,0
389,389,0,119,425,1,1,394,0,0,1,0,下位,0,394,0
364,364,0,133,501,0,0,0,783,425,-845,5,下位,0,0,0
816,676,0,88,315,0,0,0,364,501,-935,6,下位,0,0,0
140,70,0,88,315,0,1,676,364,501,-935,6,下位,0,676,0
70,70,0,88,315,0,2,746,364,501,-935,6,下位,0,70,0
928,124,0,178,719,1,0,0,0,0,1,0,下位,0,0,0
804,716,0,178,719,1,1,124,0,0,1,0,下位,0,124,0
88,88,0,178,719,1,2,840,0,0,1,0,下位,0,716,0
537,457,0,116,451,0,0,0,928,719,-786,5,下位,0,0,0
80,80,0,116,451,0,1,457,928,719,-786,5,下位,0,457,0
481,481,0,101,359,0,0,0,537,451,-1207,4,下位,0,0,0
128,128,0,138,516,0,0,0,481,359,-1629,5,下位,0,0,0
27,27,0,128,412,1,0,0,0,0,1,0,下位,0,0,0
687,687,0,51,183,0,0,0,27,412,369,6,下位,0,0,0
194,194,0,81,295,0,0,0,687,183,-563,2,下位,0,0,0
108,108,0,100,384,0,0,0,194,295,-583,3,下位,0,0,0
377,377,0,106,395,0,0,0,108,384,-374,5,下位,0,0,0
49,49,0,44,190,0,0,0,377,395,-591,4,下位,0,0,0
474,474,0,59,219,0,0,0,49,190,-481,2,下位,0,0,0
83,83,0,108,410,0,0,0,474,219,-1031,2,下位,0,0,0
691,691,0,103,371,0,0,0,83,410,-756,3,下位,0,0,0
499,168,0,141,562,0,0,0,691,371,-1507,4,下位,0,0,0
331,215,0,141,562,0,1,168,691,371,-1507,4,下位,0,168,0
116,116,0,141,562,0,2,383,691,371,-1507,4,下位,0,215,0
105,105,0,156,565,0,0,0,499,562,-1755,4,下位,0,0,0
111,111,0,77,281,0,0,0,105,565,-1360,7,下位,0,0,0
516,516,0,100,391,0,0,0,111,281,-1259,3,下位,0,0,0
533,417,0,54,244,1,0,0,0,0,1,0,下位,0,0,0
116,116,0,54,244,1,1,417,0,0,1,0,下位,0,417,0
117,117,0,165,611,0,0,0,533,244,-620,2,下位,0,0,0
202,145,0,113,425,0,0,0,117,611,-199,7,下位,0,0,0
57,57,0,113,425,0,1,145,117,611,-199,7,下位,0,145,0
717,557,0,93,348,0,0,0,202,425,-102,4,下位,0,0,0
160,160,0,93,348,0,1,557,202,425,-102,4,下位,0,557,0
983,415,0,95,371,0,0,0,717,348,-918,3,下位,0,0,0
568,568,0,95,371,0,1,415,717,348,-918,3,下位,0,415,0
210,210,0,152,507,0,0,0,983,371,-2143,3,下位,0,0,0
513,90,0,153,627,0,0,0,210,507,-1977,8,下位,0,0,0
423,206,0,153,627,0,1,90,210,507,-1977,8,下位,0,90,0
217,217,0,153,627,0,2,296,210,507,-1977,8,下位,0,206,0
422,422,0,140,533,1,0,0,0,0,1,0,下位,0,0,0
94,94,0,67,241,0,0,0,422,533,-151,5,下位,0,0,0
227,227,0,97,345,0,0,0,94,241,-63,3,下位,0,0,0
127,127,0,86,376,0,0,0,227,345,-87,4,下位,0,0,0
179,179,0,585,2725,0,0,0,127,376,83,3,下位,0,0,0
984,24,0,123,510,1,0,0,0,0,1,0,下位,0,0,0
960,555,0,123,510,1,1,24,0,0,1,0,下位,0,24,0
405,316,0,123,510,1,2,579,0,0,1,0,下位,0,555,0
89,89,0,123,510,1,3,895,0,0,1,0,下位,0,316,0
153,153,0,129,485,0,0,0,984,510,-1086,5,下位,0,0,0
337,200,0,83,313,0,0,0,153,485,-849,5,下位,0,0,0
137,76,0,83,313,0,1,200,153,485,-849,5,下位,0,200,0
61,28,0,83,313,0,2,276,153,485,-849,5,下位,0,76,0
33,33,0,83,313,0,3,304,153,485,-849,5,下位,0,28,0
37,37,0,26,106,0,0,0,337,313,-1083,3,下位,0,0,0
1090,373,0,129,456,0,0,0,37,106,-1037,2,下位,0,0,0
717,717,0,129,456,0,1,373,37,106,-1037,2,下位,0,373,0
120,120,0,99,344,1,0,0,0,0,1,0,下位,0,0,0
381,381,0,57,205,0,0,0,120,344,150,4,下位,0,0,0
494,149,0,152,574,0,0,0,381,205,-264,2,下位,0,0,0
345,345,0,152,574,0,1,149,381,205,-264,2,下位,0,149,0
691,358,0,149,574,0,0,0,494,574,-492,6,下位,0,0,0
333,52,0,149,574,0,1,358,494,574,-492,6,下位,0,358,0
281,31,0,149,574,0,2,410,494,574,-492,6,下位,0,52,0
250,71,0,149,574,0,3,441,494,574,-492,6,下位,0,31,0
179,179,0,149,574,0,4,512,494,574,-492,6,下位,0,71,0
975,701,0,965,4825,0,0,0,691,574,-1039,5,下位,0,0,0
274,274,0,965,4825,0,1,701,691,574,-1039,5,下位,0,701,0
380,380,0,80,323,0,0,0,975,4825,2203,1,下位,0,0,0
716,716,0,173,659,0,0,0,380,323,1909,2,下位,0,0,0
590,590,0,66,251,0,0,0,716,659,1406,6,下位,0,0,0
297,297,0,88,299,0,0,0,590,251,699,2,下位,0,0,0
254,111,0,117,396,0,0,0,297,299,516,4,下位,0,0,0
143,143,0,117,396,0,1,111,297,299,516,4,下位,0,111,0
480,216,0,97,371,0,0,0,254,396,500,5,下位,0,0,0
264,264,0,97,371,0,1,216,254,396,500,5,下位,0,216,0
18,18,0,1009,4601,1,0,0,0,0,1,0,下位,0,0,0
459,459,0,111,415,0,0,0,18,4601,718,10,上位,0,0,0
332,144,0,200,806,0,0,0,459,415,388,4,下位,0,0,0
188,146,0,200,806,0,1,144,459,415,388,4,下位,0,144,0
42,42,0,200,806,0,2,290,459,415,388,4,下位,0,146,0
370,370,0,257,1083,0,0,0,332,806,655,6,下位,0,0,0
139,139,0,96,369,0,0,0,370,1083,1137,5,下位,0,0,0
308,308,0,144,569,0,0,0,139,369,1280,3,下位,0,0,0
797,419,0,49,175,0,0,0,308,569,1349,5,下位,0,0,0
378,378,0,49,175,0,1,419,308,569,1349,5,下位,0,419,0
180,180,0,106,393,0,0,0,797,175,230,2,下位,0,0,0
116,116,0,131,469,0,0,0,180,393,331,4,下位,0,0,0
337,337,0,102,402,0,0,0,116,469,612,6,下位,0,0,0
602,64,0,134,484,0,0,0,337,402,467,3,下位,0,0,0
538,538,0,134,484,0,1,64,337,402,467,3,下位,0,64,0
417,417,0,122,474,1,0,0,0,0,1,0,下位,0,0,0
64,64,0,42,176,0,0,0,417,474,-202,4,下位,0,0,0
69,69,0,434,1957,0,0,0,64,176,-130,2,下位,0,0,0
1469,291,0,81,316,0,0,0,69,1957,1715,8,下位,0,0,0
1178,385,0,81,316,0,1,291,69,1957,1715,8,下位,0,291,0
793,146,0,81,316,0,2,676,69,1957,1715,8,下位,0,385,0
647,72,0,81,316,0,3,822,69,1957,1715,8,下位,0,146,0
575,70,0,81,316,0,4,894,69,1957,1715,8,下位,0,72,0
505,505,0,81,316,0,5,964,69,1957,1715,8,下位,0,70,0
522,522,0,131,451,0,0,0,1469,316,-354,4,下位,0,0,0
897,200,0,97,349,1,0,0,0,0,1,0,下位,0,0,0
697,686,0,97,349,1,1,200,0,0,1,0,下位,0,200,0
11,11,0,97,349,1,2,886,0,0,1,0,下位,0,686,0
1094,411,0,99,353,0,0,0,897,349,-1107,4,下位,0,0,0
683,658,0,99,353,0,1,411,897,349,-1107,4,下位,0,411,0
25,25,0,99,353,0,2,1069,897,349,-1107,4,下位,0,658,0
235,235,0,136,556,0,0,0,1094,353,-2530,4,下位,0,0,0
517,517,0,110,405,1,0,0,0,0,1,0,下位,0,0,0
307,217,0,243,964,0,0,0,517,405,-433,4,下位,0,0,0
90,90,0,243,964,0,1,217,517,405,-433,4,下位,0,217,0
135,135,0,269,1075,0,0,0,307,964,33,7,下位,0,0,0
221,221,0,153,548,0,0,0,135,1075,889,8,下位,0,0,0
537,537,0,89,384,1,0,0,0,0,1,0,下位,0,0,0
254,254,0,79,263,0,0,0,537,384,-487,3,下位,0,0,0
707,707,0,85,293,0,0,0,254,263,-636,4,下位,0,0,0
733,669,0,144,525,0,0,0,707,293,-1491,4,下位,0,0,0
64,64,0,144,525,0,1,669,707,293,-1491,4,下位,0,669,0
48,48,0,17,86,0,0,0,733,525,-2156,6,下位,0,0,0
313,313,0,139,522,1,0,0,0,0,1,0,下位,0,0,0
635,635,0,81,259,0,0,0,313,522,15,5,下位,0,0,0
367,103,0,94,388,0,0,0,635,259,-757,4,下位,0,0,0
264,264,0,94,388,0,1,103,635,259,-757,4,下位,0,103,0
551,431,0,86,342,0,0,0,367,388,-965,4,下位,0,0,0
120,120,0,86,342,0,1,431,367,388,-965,4,下位,0,431,0
507,507,0,103,310,0,0,0,551,342,-1518,4,下位,0,0,0
217,217,0,150,584,1,0,0,0,0,1,0,下位,0,0,0
242,242,0,122,490,0,0,0,217,584,233,6,下位,0,0,0
282,282,0,127,494,0,0,0,242,490,330,5,下位,0,0,0
792,343,0,119,457,0,0,0,282,494,366,4,下位,0,0,0
449,449,0,119,457,0,1,343,282,494,366,4,下位,0,343,0
715,99,0,105,413,1,0,0,0,0,1,0,下位,0,0,0
616,299,0,105,413,1,1,99,0,0,1,0,下位,0,99,0
317,317,0,105,413,1,2,398,0,0,1,0,下位,0,299,0
724,139,0,134,479,0,0,0,715,413,-747,3,下位,0,0,0
585,217,0,134,479,0,1,139,715,413,-747,3,下位,0,139,0
368,8,0,134,479,0,2,356,715,413,-747,3,下位,0,217,0
360,68,0,134,479,0,3,364,715,413,-747,3,下位,0,8,0
292,117,0,134,479,0,4,432,715,413,-747,3,下位,0,68,0
175,175,0,134,479,0,5,549,715,413,-747,3,下位,0,117,0
721,721,0,196,772,0,0,0,724,479,-1443,6,下位,0,0,0
317,317,0,157,586,1,0,0,0,0,1,0,下位,0,0,0
552,454,0,695,3272,0,0,0,317,586,72,6,下位,0,0,0
98,98,0,695,3272,0,1,454,317,586,72,6,下位,0,454,0
131,131,0,803,3602,0,0,0,552,3272,515,4,上位,0,0,0
303,303,0,167,600,0,0,0,131,3602,615,10,上位,0,0,0
96,96,0,132,491,0,0,0,303,600,723,6,下位,0,0,0
418,418,0,165,705,0,0,0,96,491,1058,5,下位,0,0,0
66,66,0,129,490,1,0,0,0,0,1,0,下位,0,0,0
182,182,0,81,300,0,0,0,66,490,384,5,下位,0,0,0
297,297,0,130,516,0,0,0,182,300,389,3,下位,0,0,0
503,76,0,145,537,0,0,0,297,516,423,4,下位,0,0,0
427,282,0,145,537,0,1,76,297,516,423,4,下位,0,76,0
145,145,0,145,537,0,2,358,297,516,423,4,下位,0,282,0
750,376,0,119,418,0,0,0,503,537,144,6,下位,0,0,0
374,229,0,119,418,0,1,376,503,537,144,6,下位,0,376,0
145,145,0,119,418,0,2,605,503,537,144,6,下位,0,229,0
481,151,0,272,1235,1,0,0,0,0,1,0,下位,0,0,0
330,70,0,272,1235,1,1,151,0,0,1,0,下位,0,151,0
260,260,0,272,1235,1,2,221,0,0,1,0,下位,0,70,0
432,156,0,122,449,0,0,0,481,1235,455,3,上位,0,0,0
276,276,0,122,449,0,1,156,481,1235,455,3,上位,0,156,0
605,555,0,126,512,0,0,0,432,449,203,5,下位,0,0,0
50,50,0,126,512,0,1,555,432,449,203,5,下位,0,555,0
227,227,0,262,1098,0,0,0,605,512,-267,5,下位,0,0,0
999,319,0,68,294,1,0,0,0,0,1,0,下位,0,0,0
680,680,0,68,294,1,1,319,0,0,1,0,下位,0,319,0
337,242,0,78,287,0,0,0,999,294,-1327,2,下位,0,0,0
95,15,0,78,287,0,1,242,999,294,-1327,2,下位,0,242,0
80,80,0,78,287,0,2,257,999,294,-1327,2,下位,0,15,0
317,317,0,93,353,0,0,0,337,287,-1587,3,下位,0,0,0
717,717,0,107,367,0,0,0,317,353,-1749,3,下位,0,0,0
174,174,0,126,472,0,0,0,717,367,-2546,5,下位,0,0,0
227,227,0,267,1079,0,0,0,174,472,-2356,4,下位,0,0,0
60,60,0,54,272,0,0,0,227,1079,-1646,7,下位,0,0,0
15,15,0,136,486,1,0,0,0,0,1,0,下位,0,0,0
110,110,0,144,504,0,0,0,15,486,463,6,下位,0,0,0
718,718,0,69,265,0,0,0,110,504,788,7,下位,0,0,0
363,305,0,140,554,0,0,0,718,265,-113,2,下位,0,0,0
58,58,0,140,554,0,1,305,718,265,-113,2,下位,0,305,0
444,444,0,255,1075,0,0,0,363,554,-148,5,下位,0,0,0
937,720,0,66,251,0,0,0,444,1075,206,6,下位,0,0,0
217,217,0,66,251,0,1,720,444,1075,206,6,下位,0,720,0
203,203,0,70,263,0,0,0,937,251,-1064,2,下位,0,0,0
100,100,0,125,486,0,0,0,203,263,-1131,2,下位,0,0,0
341,318,0,167,635,1,0,0,0,0,1,0,下位,0,0,0
23,23,0,167,635,1,1,318,0,0,1,0,下位,0,318,0
578,497,0,137,498,0,0,0,341,635,83,6,下位,0,0,0
81,81,0,137,498,0,1,497,341,635,83,6,下位,0,497,0
567,142,0,158,602,0,0,0,578,498,-357,5,下位,0,0,0
425,388,0,158,602,0,1,142,578,498,-357,5,下位,0,142,0
37,37,0,158,602,0,2,530,578,498,-357,5,下位,0,388,0
35,35,0,27,135,0,0,0,567,602,-676,6,下位,0,0,0
30,30,0,36,181,0,0,0,35,135,-598,1,下位,0,0,0
1167,275,0,140,513,0,0,0,30,181,-466,1,下位,0,0,0
892,717,0,140,513,0,1,275,30,181,-466,1,下位,0,275,0
175,175,0,140,513,0,2,992,30,181,-466,1,下位,0,717,0
170,170,0,168,691,0,0,0,1167,513,-1847,5,下位,0,0,0
329,102,0,148,539,0,0,0,170,691,-1432,4,下位,0,0,0
227,90,0,148,539,0,1,102,170,691,-1432,4,下位,0,102,0
137,105,0,148,539,0,2,192,170,691,-1432,4,下位,0,90,0
32,32,0,148,539,0,3,297,170,691,-1432,4,下位,0,105,0
881,391,0,87,297,0,0,0,329,539,-1427,7,下位,0,0,0
490,490,0,87,297,0,1,391,329,539,-1427,7,下位,0,391,0
602,37,0,62,286,1,0,0,0,0,1,0,下位,0,0,0
565,565,0,62,286,1,1,37,0,0,1,0,下位,0,37,0
598,298,0,161,611,0,0,0,602,286,-690,2,下位,0,0,0
300,300,0,161,611,0,1,298,602,286,-690,2,下位,0,298,0
535,535,0,154,590,0,0,0,598,611,-1050,6,下位,0,0,0
78,78,0,122,450,0,0,0,535,590,-1329,5,下位,0,0,0
350,350,0,282,1163,0,0,0,78,450,-1006,5,下位,0,0,0
915,235,0,67,240,0,0,0,350,1163,-411,6,下位,0,0,0
680,680,0,67,240,0,1,235,350,1163,-411,6,下位,0,235,0
917,201,0,144,587,0,0,0,915,240,-1656,2,下位,0,0,0
716,716,0,144,587,0,1,201,915,240,-1656,2,下位,0,201,0
1001,396,0,114,450,1,0,0,0,0,1,0,下位,0,0,0
605,605,0,114,450,1,1,396,0,0,1,0,下位,0,396,0
395,260,0,119,410,0,0,0,1001,450,-1174,5,下位,0,0,0
135,135,0,119,410,0,1,260,1001,450,-1174,5,下位,0,260,0
708,593,0,143,563,0,0,0,395,410,-1405,5,下位,0,0,0
115,64,0,143,563,0,1,593,395,410,-1405,5,下位,0,593,0
51,51,0,143,563,0,2,657,395,410,-1405,5,下位,0,64,0
613,396,0,52,236,1,0,0,0,0,1,0,下位,0,0,0
217,217,0,52,236,1,1,396,0,0,1,0,下位,0,396,0
926,717,0,131,463,0,0,0,613,236,-758,2,下位,0,0,0
209,209,0,131,463,0,1,717,613,236,-758,2,下位,0,717,0
1196,617,0,124,494,0,0,0,926,463,-1798,6,下位,0,0,0
579,335,0,124,494,0,1,617,926,463,-1798,6,下位,0,617,0
244,244,0,124,494,0,2,952,926,463,-1798,6,下位,0,335,0
59,59,0,33,165,0,0,0,1196,494,-3246,6,下位,0,0,0
354,23,0,85,349,1,0,0,0,0,1,0,下位,0,0,0
331,331,0,85,349,1,1,23,0,0,1,0,下位,0,23,0
672,558,0,289,1231,0,0,0,354,349,-224,2,下位,0,0,0
114,114,0,289,1231,0,1,558,354,349,-224,2,下位,0,558,0
991,337,0,175,708,1,0,0,0,0,1,0,下位,0,0,0
654,606,0,175,708,1,1,337,0,0,1,0,下位,0,337,0
48,48,0,175,708,1,2,943,0,0,1,0,下位,0,606,0
115,115,0,100,371,0,0,0,991,708,-900,7,下位,0,0,0
278,96,0,117,435,0,0,0,115,371,-716,4,下位,0,0,0
182,31,0,117,435,0,1,96,115,371,-716,4,下位,0,96,0
151,151,0,117,435,0,2,127,115,371,-716,4,下位,0,31,0
113,113,0,82,289,0,0,0,278,435,-732,5,下位,0,0,0
189,189,0,80,316,0,0,0,113,289,-626,4,下位,0,0,0
1050,160,0,93,331,0,0,0,189,316,-617,2,下位,0,0,0
890,73,0,93,331,0,1,160,189,316,-617,2,下位,0,160,0
817,315,0,93,331,0,2,233,189,316,-617,2,下位,0,73,0
502,161,0,93,331,0,3,548,189,316,-617,2,下位,0,315,0
341,162,0,93,331,0,4,709,189,316,-617,2,下位,0,161,0
179,179,0,93,331,0,5,871,189,316,-617,2,下位,0,162,0
75,75,0,164,576,1,0,0,0,0,1,0,下位,0,0,0
490,490,0,60,274,0,0,0,75,576,455,8,下位,0,0,0
162,162,0,157,580,0,0,0,490,274,-66,2,下位,0,0,0
720,720,0,81,275,0,0,0,162,580,251,6,下位,0,0,0
234,234,0,46,206,0,0,0,720,275,-643,4,下位,0,0,0
1492,348,0,122,491,0,0,0,234,206,-817,2,下位,0,0,0
1144,716,0,122,491,0,1,348,234,206,-817,2,下位,0,348,0
428,428,0,122,491,0,2,1064,234,206,-817,2,下位,0,716,0
107,107,0,286,1221,0,0,0,1492,491,-2748,6,下位,0,0,0
216,216,0,81,307,0,0,0,107,1221,-1701,8,下位,0,0,0
988,171,0,137,558,1,0,0,0,0,1,0,下位,0,0,0
817,599,0,137,558,1,1,171,0,0,1,0,下位,0,171,0
218,218,0,137,558,1,2,770,0,0,1,0,下位,0,599,0
723,608,0,174,699,0,0,0,988,558,-1045,7,下位,0,0,0
115,115,0,174,699,0,1,608,988,558,-1045,7,下位,0,608,0
1295,490,0,61,233,0,0,0,723,699,-1520,6,下位,0,0,0
805,189,0,61,233,0,1,490,723,699,-1520,6,下位,0,490,0
616,616,0,61,233,0,2,679,723,699,-1520,6,下位,0,189,0
186,186,0,69,275,0,0,0,1295,233,-3389,2,下位,0,0,0
47,47,0,131,483,1,0,0,0,0,1,0,下位,0,0,0
383,236,0,96,379,0,0,0,47,483,408,6,下位,0,0,0
147,92,0,96,379,0,1,236,47,483,408,6,下位,0,236,0
55,55,0,96,379,0,2,328,47,483,408,6,下位,0,92,0
716,716,0,122,421,0,0,0,383,379,166,3,下位,0,0,0
518,518,0,155,583,1,0,0,0,0,1,0,下位,0,0,0
270,270,0,125,448,0,0,0,518,583,-257,6,下位,0,0,0
1475,418,0,69,320,0,0,0,270,448,-247,5,下位,0,0,0
1057,94,0,69,320,0,1,418,270,448,-247,5,下位,0,418,0
963,53,0,69,320,0,2,512,270,448,-247,5,下位,0,94,0
910,162,0,69,320,0,3,565,270,448,-247,5,下位,0,53,0
748,719,0,69,320,0,4,727,270,448,-247,5,下位,0,162,0
29,29,0,69,320,0,5,1446,270,448,-247,5,下位,0,719,0
217,217,0,154,587,1,0,0,0,0,1,0,下位,0,0,0
88,88,0,120,434,0,0,0,217,587,236,5,下位,0,0,0
586,327,0,135,529,0,0,0,88,434,527,5,下位,0,0,0
259,220,0,135,529,0,1,327,88,434,527,5,下位,0,327,0
39,39,0,135,529,0,2,547,88,434,527,5,下位,0,220,0
60,60,0,849,3916,1,0,0,0,0,1,0,下位,0,0,0
489,489,0,362,1613,0,0,0,60,3916,431,9,上位,0,0,0
170,170,0,536,2680,0,0,0,489,1613,1250,6,下位,0,0,0
71,71,0,93,362,0,0,0,170,2680,3654,1,下位,0,0,0
187,187,0,117,427,0,0,0,71,362,363,3,下位,0,0,0
468,117,0,130,492,1,0,0,0,0,1,0,下位,0,0,0
351,351,0,130,492,1,1,117,0,0,1,0,下位,0,117,0
1180,131,0,273,1090,0,0,0,468,492,-267,4,下位,0,0,0
1049,716,0,273,1090,0,1,131,468,492,-267,4,下位,0,131,0
333,333,0,273,1090,0,2,847,468,492,-267,4,下位,0,716,0
578,578,0,60,225,0,0,0,1180,1090,-1093,9,下位,0,0,0
1136,108,0,112,411,0,0,0,578,225,-1806,2,下位,0,0,0
1028,614,0,112,411,0,1,108,578,225,-1806,2,下位,0,108,0
414,139,0,112,411,0,2,722,578,225,-1806,2,下位,0,614,0
275,275,0,112,411,0,3,861,578,225,-1806,2,下位,0,139,0
976,64,0,124,492,1,0,0,0,0,1,0,下位,0,0,0
912,92,0,124,492,1,1,64,0,0,1,0,下位,0,64,0
820,616,0,124,492,1,2,156,0,0,1,0,下位,0,92,0
204,204,0,124,492,1,3,772,0,0,1,0,下位,0,616,0
25,25,0,251,1009,1,0,0,0,0,1,0,下位,0,0,0
163,163,0,459,2073,0,0,0,25,1009,969,7,下位,0,0,0
34,34,0,153,763,0,0,0,163,2073,1421,7,上位,0,0,0
374,235,0,138,502,0,0,0,34,763,2129,1,下位,0,0,0
139,139,0,138,502,0,1,235,34,763,2129,1,下位,0,235,0
25,25,0,51,255,0,0,0,374,502,2024,5,下位,0,0,0
76,76,0,95,337,0,0,0,25,255,2238,1,下位,0,0,0
169,169,0,76,333,0,0,0,76,337,241,4,下位,0,0,0
178,178,0,73,260,0,0,0,169,333,300,3,下位,0,0,0
1269,194,0,65,246,0,0,0,178,260,271,3,下位,0,0,0
1075,717,0,65,246,0,1,194,178,260,271,3,下位,0,194,0
358,358,0,65,246,0,2,911,178,260,271,3,下位,0,717,0
111,111,0,114,455,0,0,0,1269,246,-1543,2,下位,0,0,0
292,234,0,149,553,0,0,0,111,455,-1268,3,下位,0,0,0
58,58,0,149,553,0,1,234,111,455,-1268,3,下位,0,234,0
455,455,0,138,489,1,0,0,0,0,1,0,下位,0,0,0
196,196,0,125,483,0,0,0,455,489,-249,7,下位,0,0,0
416,416,0,93,352,0,0,0,196,483,-84,4,下位,0,0,0
176,176,0,95,326,0,0,0,416,352,-407,3,下位,0,0,0
384,137,0,70,278,0,0,0,176,326,-367,4,下位,0,0,0
247,247,0,70,278,0,1,137,176,326,-367,4,下位,0,137,0
502,502,0,128,456,0,0,0,384,278,-712,2,下位,0,0,0
102,102,0,136,459,1,0,0,0,0,1,0,下位,0,0,0
301,301,0,125,495,0,0,0,102,459,294,7,下位,0,0,0
368,329,0,72,255,0,0,0,301,495,300,4,下位,0,0,0
39,39,0,72,255,0,1,329,301,495,300,4,下位,0,329,0
427,427,0,212,1061,0,0,0,368,255,-42,4,下位,0,0,0
202,202,0,134,469,0,0,0,427,1061,326,1,下位,0,0,0
252,245,0,66,261,0,0,0,202,469,467,7,下位,0,0,0
7,7,0,66,261,0,1,245,202,469,467,7,下位,0,245,0
216,216,0,115,421,0,0,0,252,261,319,2,下位,0,0,0
34,34,0,558,2618,0,0,0,216,421,389,5,下位,0,0,0
76,76,0,79,263,0,0,0,34,2618,605,5,上位,0,0,0
70,70,0,56,261,0,0,0,76,263,745,4,下位,0,0,0
719,719,0,81,279,0,0,0,70,261,892,2,下位,0,0,0
1329,265,0,100,353,0,0,0,719,279,4,4,下位,0,0,0
1064,314,0,100,353,0,1,265,719,279,4,4,下位,0,265,0
750,350,0,100,353,0,2,579,719,279,4,4,下位,0,314,0
400,219,0,100,353,0,3,929,719,279,4,4,下位,0,350,0
181,181,0,100,353,0,4,1148,719,279,4,4,下位,0,219,0
359,359,0,299,1287,0,0,0,1329,353,-1801,4,下位,0,0,0
276,23,0,145,555,1,0,0,0,0,1,0,下位,0,0,0
253,129,0,145,555,1,1,23,0,0,1,0,下位,0,23,0
124,47,0,145,555,1,2,152,0,0,1,0,下位,0,129,0
77,77,0,145,555,1,3,199,0,0,1,0,下位,0,47,0
320,320,0,135,538,0,0,0,276,555,109,6,下位,0,0,0
109,109,0,134,492,0,0,0,320,538,128,6,下位,0,0,0
930,715,0,58,217,0,0,0,109,492,443,6,下位,0,0,0
215,215,0,58,217,0,1,715,109,492,443,6,下位,0,715,0
477,73,0,141,497,0,0,0,930,217,-850,2,下位,0,0,0
404,225,0,141,497,0,1,73,930,217,-850,2,下位,0,73,0
179,179,0,141,497,0,2,298,930,217,-850,2,下位,0,225,0
498,498,0,154,614,0,0,0,477,497,-1128,7,下位,0,0,0
299,299,0,159,693,0,0,0,498,614,-1322,6,下位,0,0,0
539,23,0,141,515,1,0,0,0,0,1,0,下位,0,0,0
516,172,0,141,515,1,1,23,0,0,1,0,下位,0,23,0
344,344,0,141,515,1,2,195,0,0,1,0,下位,0,172,0
405,218,0,162,665,0,0,0,539,515,-358,6,下位,0,0,0
187,187,0,162,665,0,1,218,539,515,-358,6,下位,0,218,0
341,104,0,130,606,0,0,0,405,665,-351,6,下位,0,0,0
237,237,0,130,606,0,1,104,405,665,-351,6,下位,0,104,0
400,400,0,85,322,0,0,0,341,606,-299,1,下位,0,0,0
411,411,0,102,373,0,0,0,400,322,-626,3,下位,0,0,0
248,222,0,304,1326,0,0,0,411,373,-920,4,下位,0,0,0
26,26,0,304,1326,0,1,222,411,373,-920,4,下位,0,222,0
74,74,0,115,492,1,0,0,0,0,1,0,下位,0,0,0
138,138,0,61,198,0,0,0,74,492,373,3,下位,0,0,0
715,715,0,134,442,0,0,0,138,198,347,3,下位,0,0,0
429,429,0,72,287,0,0,0,715,442,-372,7,下位,0,0,0
256,256,0,121,448,0,0,0,429,287,-781,2,下位,0,0,0
320,140,0,58,215,0,0,0,256,448,-749,5,下位,0,0,0
180,180,0,58,215,0,1,140,256,448,-749,5,下位,0,140,0
158,117,0,132,504,0,0,0,320,215,-1053,2,下位,0,0,0
41,41,0,132,504,0,1,117,320,215,-1053,2,下位,0,117,0
119,59,0,98,357,0,0,0,158,504,-806,5,下位,0,0,0
60,60,0,98,357,0,1,59,158,504,-806,5,下位,0,59,0
190,190,0,256,1069,0,0,0,119,357,-642,4,下位,0,0,0
201,201,0,177,694,0,0,0,190,1069,119,6,下位,0,0,0
27,27,0,413,2016,0,0,0,201,694,487,5,下位,0,0,0
505,322,0,263,1169,0,0,0,27,2016,2459,2,下位,0,0,0
183,183,0,263,1169,0,1,322,27,2016,2459,2,下位,0,322,0
130,130,0,61,278,0,0,0,505,1169,2808,6,下位,0,0,0
82,82,0,227,877,1,0,0,0,0,1,0,下位,0,0,0
179,179,0,72,289,0,0,0,82,877,745,8,下位,0,0,0
490,90,0,943,4384,0,0,0,179,289,743,2,下位,0,0,0
400,400,0,943,4384,0,1,90,179,289,743,2,下位,0,90,0
685,685,0,172,674,0,0,0,490,4384,2371,8,上位,0,0,0
30,30,0,676,3277,0,0,0,685,674,1933,6,下位,0,0,0
422,422,0,553,2413,0,0,0,30,3277,713,3,上位,0,0,0
962,175,0,272,1145,1,0,0,0,0,1,0,下位,0,0,0
787,12,0,272,1145,1,1,175,0,0,1,0,下位,0,175,0
775,70,0,272,1145,1,2,187,0,0,1,0,下位,0,12,0
705,559,0,272,1145,1,3,257,0,0,1,0,下位,0,70,0
146,116,0,272,1145,1,4,816,0,0,1,0,下位,0,559,0
30,30,0,272,1145,1,5,932,0,0,1,0,下位,0,116,0
649,649,0,1091,5113,0,0,0,962,1145,-415,8,下位,0,0,0
417,417,0,70,257,1,0,0,0,0,1,0,下位,0,0,0
67,67,0,93,364,0,0,0,417,257,-419,2,下位,0,0,0
113,113,0,119,464,0,0,0,67,364,-164,3,下位,0,0,0
75,75,0,103,377,0,0,0,113,464,117,5,下位,0,0,0
993,342,0,112,529,0,0,0,75,377,372,4,下位,0,0,0
